NumPrincipalComponents,Mse
206,26915.1435860304
207,26441.45255350979
208,27873.728141865082
209,27381.204795227157
210,26793.14214297339
211,28202.461021751493
212,26754.521608996667
213,27425.391401493216
214,27453.150743847105
215,27122.671751865353
216,27658.833279881805
217,28024.701671472456
218,27939.052226843974
219,26323.981698466952
220,27658.962503335948
221,27699.731847302683
222,28135.01916165939
223,27983.17987325955
224,27889.970292098875
225,27077.709759033616
226,28059.02131891737
227,27381.27667901188
228,27077.961566250633
229,27635.83141770195
230,27003.069363250335
231,26530.186711323902
232,27629.378333353696
233,26988.60254952549
234,26725.790878682827
235,29128.672863463886
236,26838.811687827063
237,27221.985273165155
238,27979.843212431555
239,27317.6254855875
240,26805.821322601503
241,26752.99939785935
242,25959.072239529352
243,27583.132345937025
244,27081.484592893616
245,26943.818331028608
246,26925.245503325048
247,26569.822000798915
248,26838.123632550745
249,27041.322581662065
250,26968.978703164925
251,27181.29938600647
252,26640.470227099966
253,27538.45512460835
254,25129.048390031297
255,27153.05413234173
256,26361.702499910036
257,26484.456779123404
258,27044.33645743038
259,26003.038191469954
260,26409.59284045789
261,26765.140941875605
262,26351.998584788664
263,26491.10207957271
264,26064.861733086134
265,27135.232262566868
266,26280.639795423518
267,27292.715425413568
268,26990.392967024443
269,27091.679074312393
270,26597.031648246975
271,26572.94703085645
272,27715.429924544664
273,26731.314912306134
274,27217.482599815383
275,26405.72763119713
276,26890.88959629669
277,25899.867795767335
278,25781.183909099334
279,26777.893156336933
280,27641.77917305729
281,26848.337452879514
282,26747.600852430456
283,26685.701718974815
284,27037.70389325801
285,26557.94548485702
286,27035.525449477966
287,27019.09589105974
288,26943.9004249973
289,26596.50493722441
290,26645.706156960805
291,26251.567995312485
292,28542.556639543913
293,27463.433091499493
294,26945.936104298
295,27125.531534251346
296,26153.397183454083
297,25969.16915633108
298,25863.676245643797
299,27010.39833674687
300,25383.461567413084
301,26469.260897711883
302,26584.36624450323
303,26839.54701931236
304,26827.313210087927
305,26926.902377033784
306,25407.017587064485
307,26974.887311090282
308,27115.623493446303
309,26790.08679590832
310,26946.845690815295
311,26104.97277454211
312,27155.70244307295
313,26706.869080972734
314,26583.08958819839
315,28382.147316336286
316,26449.78204311471
317,25408.479615740165
318,26536.99618120481
319,27245.60811323466
320,26689.16436425846
321,25276.888372634843
322,25429.211586100184
323,25711.43572206245
324,25505.42604434785
325,26265.41518170787
326,26317.902207758932
327,26011.549022257597
328,25747.246765315856
329,26216.04412136379
330,25919.640611448547
331,27098.275639774667
332,25283.653750918384
333,25595.704510581712
334,25387.835072687296
335,25908.88334320234
336,26547.54330053715
337,26019.771929905768
338,26045.83747306226
339,25455.12847964585
340,26377.521001422363
341,26627.839277776406
342,26399.746734172473
343,25977.099570719172
344,25800.02995792044
345,24809.84364213589
346,26046.711123583365
347,25828.18557108153
348,25469.053232259972
349,26565.14478401525
350,25104.13283703612
351,25719.145214069013
352,27043.215661370104
353,26507.64009392278
354,26152.729820324817
355,26670.765679832853
356,26732.283265132148
357,26109.63193786593
358,26119.394231763996
359,26343.308754335103
360,25124.891631518924
361,25361.998760161114
362,26033.084066245432
363,26477.04649982354
364,26475.131002022328
365,25558.80032835934
366,26026.931495611534
367,25554.58786549246
368,26196.448349638613
369,25319.272554376646
370,26147.349246130358
371,26665.485141031953
372,26577.708125152378
373,26335.22255126253
374,26734.21016927603
375,25364.701251548315
376,25327.681751068376
377,25892.93462823986
378,25173.157394794507
379,26862.562151525537
380,26527.63630054184
381,25196.278217912743
382,25278.3178296815
383,26351.838516743508
384,26700.18093203771
385,25790.86540648191
386,25662.436095578385
387,25447.722177091404
388,25407.999315441775
389,26883.651159902107
390,25490.285777586916
391,26196.657096251256
392,25680.834888153844
393,25349.51304699101
394,25211.9745148855
395,25720.950536485732
396,26801.86091500227
397,26013.809603765967
398,25581.450926626298
399,24835.55038790418
400,25084.878072280666
401,26354.85370380368
402,24878.56805710925
403,26121.01699718264
404,26323.094473001296
405,24064.02249940297
406,24696.631952612755
407,24203.799211503007
408,23837.147613261342
409,24976.062474271814
410,24375.25980757354
411,24993.66241910761
412,24697.66006068455
413,25658.33787353646
414,25272.580748193388
415,25295.906480414847
416,24907.953927292023
417,25574.95855081107
418,24170.06978181177
419,23967.857586261784
420,24607.976556560992
421,25186.35244890455
422,24425.995531587825
423,24543.19782321718
424,24741.325482365457
425,24831.446514353018
426,23990.819540787325
427,26212.777735402527
428,24799.399647498267
429,24636.974422872656
430,25694.28105361503
431,24384.839371104194
432,24267.972160924986
433,25875.987229766964
434,24018.37321038388
435,24380.85517439566
436,24768.879147304393
437,23871.202982714505
438,24772.45128173368
439,25659.365665212114
440,24628.668323278678
441,23362.816819365722
442,24400.647079417573
443,24611.582704712004
444,24908.119126660116
445,24104.464003906534
446,24604.760736146083
447,23729.840557631887
448,23635.92513952999
449,24370.56191737004
450,24192.99768912452
451,23847.771988189776
452,24594.90103059037
453,24541.71351872281
454,24198.581389135656
455,24604.220142540944
456,23778.283135153913
457,24631.770075168988
458,24582.60624727973
459,23889.956953595192
460,24751.14376111235
461,24625.224584479718
462,24445.476318138637
463,23223.287481004758
464,25119.624545872633
465,23827.252816264583
466,23380.462063176496
467,24698.8866858115
468,24380.005176407813
469,23887.223758834967
